Data;Zgony;Zgony COV
20201124;540;55
20201125;674;152
20201126;580;78
20201127;579;112
20201128;599;85
20201129;283;46
20201130;121;21
20201201;449;68
20201202;609;89
20201203;620;109
20201204;531;110
20201205;502;104
20201206;228;42
20201207;92;10
20201208;411;94
20201209;568;133
20201210;470;113
20201211;544;132
20201212;502;131
20201213;188;49
20201214;96;40
20201215;349;77
20201216;605;155
20201217;431;93
20201218;426;122
20201219;483;108
20201220;143;39
20201221;77;34
20201222;309;72
20201223;472;104
20201224;552;190
20201225;244;66
20201226;68;8
20201227;56;5
20201228;27;2
20201229;311;60
20201230;565;125
20201231;532;104
20210101;400;122
20210102;102;18
20210103;61;7
20210104;42;8
20210105;341;85
20210106;553;144
20210107;186;38
20210108;332;60
20210109;438;100
20210110;177;41
20210111;75;10
20210112;326;93
20210113;481;117
20210114;381;92
20210115;386;88
20210116;369;69
20210117;142;37
20210118;52;11
20210119;291;60
20210120;443;106
20210121;419;81
20210122;346;76
20210123;346;82
20210124;110;22
20210125;38;10
20210126;264;39
20210127;389;97
20210128;389;78
20210129;336;65
20210130;303;53
20210131;98;27
20210201;42;9
20210202;253;40
20210203;421;137
20210204;444;84
20210205;368;67
20210206;283;72
20210207;93;33
20210208;45;11
20210209;227;53
20210210;360;90
20210211;456;95
20210212;247;46
20210213;284;45
20210214;98;21
20210215;25;5
20210216;196;44
20210217;279;45
20210218;273;44
20210219;241;43
20210220;254;45
20210221;94;21
20210222;17;3
20210223;247;47
20210224;372;67
20210225;286;34
20210226;259;62
20210227;303;55
20210228;114;29
20210301;24;6
20210302;216;62
20210303;309;61
20210304;289;58
20210305;263;47
20210306;245;56
20210307;126;25
20210308;32;4
20210309;282;64
20210310;398;89
20210311;375;99
20210312;351;75
20210313;343;70
20210314;110;25
20210315;28;5
20210316;372;79
20210317;453;103
20210318;356;78
20210319;419;116
20210320;349;88
20210321;140;40
20210322;65;11
20210323;396;82
20210324;575;115
20210325;520;107
20210326;443;125
20210327;448;110
20210328;131;36
20210329;48;11
20210330;461;100
20210331;653;151
20210401;621;130
20210402;497;145
20210403;571;145
20210404;204;50
20210405;64;19
20210406;60;28
20210407;638;158
20210408;954;241
20210409;768;212
20210410;749;193
20210411;245;74
20210412;61;15
20210413;644;216
20210414;803;182
20210415;682;175
20210416;595;176
20210417;616;141
20210418;207;52
20210419;101;48
20210420;601;164
20210421;740;201
20210422;694;175
20210423;539;149
20210424;513;136
20210425;193;49
20210426;22;4
20210427;460;99
20210428;636;179
20210429;541;139
20210430;429;129
20210501;423;99
20210502;144;35
20210503;37;14
20210504;28;6
20210505;349;82
20210506;510;158
20210507;453;117
20210508;421;109
20210509;147;43
20210510;22;11
20210511;319;84
20210512;343;87
20210513;342;88
20210514;289;80
20210515;298;100
20210516;55;21
20210517;11;7
20210518;245;73
20210519;329;74
20210520;250;68
20210521;191;56
20210522;191;44
20210523;46;8
20210524;17;5
20210525;151;41
20210526;209;55
20210527;135;30
20210528;117;35
20210529;125;32
20210530;56;23
20210531;7;5
20210601;111;35
20210602;128;31
20210603;91;30
20210604;26;7
20210605;38;8
20210606;13;4
20210607;8;2
20210608;95;26
20210609;108;27
20210610;84;22
20210611;68;19
20210612;47;15
20210613;11;5
20210614;1;0
20210615;52;10
20210616;62;12
20210617;46;13
20210618;48;12
20210619;41;15
20210620;5;1
20210621;1;0
20210622;29;15
20210623;35;6
20210624;24;4
20210625;36;6
20210626;21;5
20210627;5;0
20210628;0;0
20210629;26;9
20210630;16;3
20210701;23;7
20210702;21;8
20210703;18;5
20210704;1;0
20210705;1;0
20210706;10;4
20210707;17;11
20210708;19;3
20210709;17;3
20210710;7;3
20210711;1;0
20210712;0;0
20210713;13;7
20210714;6;3
20210715;12;2
20210716;14;1
20210717;7;2
20210718;3;0
20210719;0;0
20210720;4;0
20210721;3;0
20210722;9;3
20210723;4;2
20210724;6;2
20210725;1;0
20210726;0;0
20210727;7;1
20210728;3;1
20210729;5;1
20210730;2;0
20210731;2;1
20210801;0;0
20210802;0;0
20210803;4;2
20210804;4;0
20210805;6;4
20210806;6;3
20210807;4;2
20210808;0;0
20210809;0;0
20210810;0;0
20210811;4;1
20210812;2;1
20210813;6;2
20210814;2;0
20210815;0;0
20210816;0;0
20210817;7;4
20210818;1;0
20210819;4;2
20210820;4;3
20210821;1;1
20210822;0;0
20210823;0;0
20210824;8;4
20210825;5;1
20210826;3;2
20210827;3;1
20210828;5;1
20210829;0;0
20210830;0;0
20210831;5;2
20210901;13;5
20210902;7;2
20210903;5;1
20210904;7;4
20210905;0;0
20210906;0;0
20210907;13;1
20210908;11;3
20210909;6;0
20210910;8;3
20210911;8;3
20210912;0;0
20210913;0;0
20210914;8;1
20210915;21;9
20210916;10;4
20210917;8;2
20210918;14;1
20210919;1;0
20210920;0;0
20210921;15;5
20210922;20;6
20210923;14;3
20210924;14;2
20210925;20;7
20210926;1;0
20210927;0;0
20210928;29;2
20210929;22;6
20210930;27;7
20211001;16;6
20211002;23;4
20211003;6;2
20211004;0;0
20211005;46;8
20211006;33;3
20211007;29;8
20211008;31;8
20211009;29;7
20211010;5;1
20211011;0;0
20211012;49;14
20211013;40;6
20211014;60;14
20211015;49;21
20211016;44;10
20211017;1;0
20211018;3;1
20211019;64;15
20211020;75;21
20211021;46;14
20211022;59;10
20211023;75;17
20211024;13;6
20211025;0;0
20211026;93;30
20211027;133;44
20211028;101;26
20211029;102;12
20211030;115;25
20211031;9;2
20211101;13;7
20211102;9;8
20211103;124;44
20211104;250;44
20211105;152;39
20211106;186;40
20211107;24;9
20211108;3;0
20211109;220;58
20211110;269;76
20211111;274;75
20211112;31;7
20211113;266;69
20211114;46;13
20211115;12;1
20211116;282;70
20211117;463;124
20211118;370;100
20211119;403;118
20211120;382;112
20211121;41;11
20211122;8;5
20211123;398;111
20211124;460;118
20211125;497;120
20211126;421;129
20211127;378;96
20211128;51;6
20211129;18;5
20211130;526;150
20211201;570;161
20211202;502;171
20211203;470;127
20211204;502;135
20211205;45;19
20211206;25;8
20211207;504;172
20211208;592;188
20211209;562;165
20211210;571;148
20211211;486;132
20211212;65;11
20211213;29;1
20211214;537;151
20211215;669;173
20211216;592;177
20211217;566;148
20211218;543;145
20211219;70;17
20211220;29;6
20211221;538;132
20211222;775;247
20211223;616;134
