Tydzień,Wszystkie zgony w 2019,Wszystkie zgony w 2021,Zgony sam COV w 2021,Zgony COV + ch. współ. w 2021
1,8706,11495,468,2027
2,8613,10993,506,2160
3,8740,11039,438,2007
4,8833,10432,369,1817
5,9381,9900,442,1904
6,9303,9950,361,1717
7,9261,10149,247,1362
8,8744,9927,297,1598
9,8653,10184,315,1472
10,8407,10865,426,1891
11,8210,11583,509,2117
12,8056,12634,586,2578
13,7827,13860,732,3055
14,7805,13829,925,3478
15,7719,12813,957,3608
16,7762,12025,922,3381
17,8129,11101,684,2655
18,7522,10101,529,1945
19,7526,9719,471,1668
20,7473,8704,330,1263
21,7615,8264,221,810
22,7492,8185,120,414
23,7990,8172,116,421
24,8286,8371,63,255
25,7220,8389,36,151
26,7382,7573,32,105
27,7097,7684,24,72
28,7144,7914,15,55
29,7485,7382,7,27
30,7692,7850,4,19
31,7298,7414,11,24
32,7222,7600,4,14
33,7001,7434,10,17
34,7083,7427,9,24
35,7877,7423,14,37
36,7002,8098,10,46
37,7000,7854,17,62
38,7426,8115,23,84
39,8032,8167,27,123
40,7719,8509,35,173
41,7853,8563,65,243
42,7836,8881,84,335
43,7657,9507,139,553
44,7678,9951,191,758
45,7648,10778,298,1109
46,7596,12050,536,1953
47,7559,12735,585,2213
48,7720,13379,768,2633
49,7965,13756,824,2805
50,7986,13713,812,3006
51,8250,12651,750,2839
52,8245,812,856,2728
